,race,sex,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,sensitive
0,Minority,Male,2,0,0,0,0,1,0,MM
1,African-American,Male,1,0,0,0,0,1,1,AM
2,African-American,Male,0,0,0,1,0,1,1,AM
3,African-American,Male,0,0,1,0,0,1,0,AM
4,Minority,Male,1,0,0,0,0,1,0,MM
5,Minority,Male,1,0,0,0,0,0,0,MM
6,Caucasian,Male,1,0,0,0,1,1,1,CM
7,Minority,Male,1,0,0,0,0,1,0,MM
8,Caucasian,Female,1,0,0,0,0,0,0,CF
9,Caucasian,Male,0,0,0,0,0,1,1,CM
10,Caucasian,Male,1,0,0,0,0,1,0,CM
11,African-American,Male,0,0,0,0,0,0,1,AM
12,Caucasian,Female,1,0,0,0,0,0,0,CF
13,African-American,Male,1,0,0,0,0,1,0,AM
14,Caucasian,Female,2,0,0,0,0,1,1,CF
15,African-American,Male,1,0,0,0,0,1,1,AM
16,Hispanic,Male,1,0,0,0,0,0,0,HM
17,African-American,Male,1,0,0,0,0,1,0,AM
18,Caucasian,Male,1,0,0,0,0,1,1,CM
19,Caucasian,Male,1,0,0,0,0,1,1,CM
20,African-American,Male,2,0,0,0,1,1,1,AM
21,African-American,Male,0,0,0,0,0,1,1,AM
22,Caucasian,Male,1,0,0,0,0,0,1,CM
23,Caucasian,Female,0,0,0,0,0,1,0,CF
24,Hispanic,Male,0,0,0,0,0,1,1,HM
25,Caucasian,Male,1,0,0,0,0,0,0,CM
26,Minority,Male,1,0,0,0,0,0,0,MM
27,African-American,Male,1,0,0,0,0,1,1,AM
28,Caucasian,Female,1,0,0,0,0,1,0,CF
29,African-American,Male,1,0,0,1,0,1,1,AM
30,African-American,Male,1,0,0,0,0,1,1,AM
31,Caucasian,Male,1,0,0,0,0,1,1,CM
32,African-American,Male,1,0,0,0,0,1,1,AM
33,Caucasian,Male,2,0,0,0,0,1,0,CM
34,Minority,Male,2,0,0,0,0,1,1,MM
35,Caucasian,Male,1,0,0,1,0,0,0,CM
36,Caucasian,Female,1,0,0,0,0,0,1,CF
37,Caucasian,Male,0,0,0,0,0,0,1,CM
38,African-American,Male,1,1,1,1,2,1,1,AM
39,Caucasian,Male,1,0,0,0,0,0,0,CM
40,African-American,Female,0,0,0,0,0,1,0,AF
41,African-American,Male,2,0,0,0,0,0,0,AM
42,Caucasian,Male,1,0,0,0,0,0,1,CM
43,African-American,Female,2,0,0,0,0,1,0,AF
44,African-American,Male,1,0,0,0,0,1,1,AM
45,Caucasian,Male,1,0,0,0,0,0,1,CM
46,African-American,Male,1,1,0,1,1,1,1,AM
47,Caucasian,Male,2,0,0,0,0,0,0,CM
48,African-American,Male,1,0,0,0,0,0,1,AM
49,African-American,Male,1,0,0,0,0,1,0,AM
50,Caucasian,Male,1,0,0,0,0,1,1,CM
51,Minority,Female,1,0,0,0,0,1,0,MF
52,Caucasian,Male,2,0,0,0,1,1,1,CM
53,Hispanic,Female,2,0,0,0,0,1,0,HF
54,African-American,Male,1,0,0,1,1,1,0,AM
55,African-American,Male,0,0,0,0,0,1,1,AM
56,Hispanic,Male,1,0,0,0,0,0,0,HM
57,African-American,Male,2,0,0,0,0,0,0,AM
58,Caucasian,Male,2,0,0,0,0,1,0,CM
59,African-American,Male,1,0,0,0,0,1,0,AM
60,African-American,Male,2,0,0,0,0,0,1,AM
61,African-American,Male,1,1,1,1,1,1,1,AM
62,Caucasian,Male,1,0,0,0,0,0,1,CM
63,African-American,Male,0,0,0,1,0,1,1,AM
64,African-American,Male,0,0,1,1,0,1,1,AM
65,African-American,Male,1,0,0,0,0,1,1,AM
66,Hispanic,Male,2,0,0,0,0,0,0,HM
67,African-American,Male,1,0,1,0,0,1,1,AM
68,Minority,Male,1,0,0,0,0,0,0,MM
69,African-American,Female,2,0,0,0,0,0,0,AF
70,Hispanic,Male,2,0,0,0,0,1,1,HM
71,Hispanic,Male,0,0,0,0,0,1,0,HM
72,African-American,Male,1,0,0,0,0,0,0,AM
73,African-American,Male,1,0,0,0,0,1,1,AM
74,Caucasian,Male,1,0,0,1,0,1,1,CM
75,African-American,Male,1,0,0,0,0,1,0,AM
76,African-American,Male,0,0,0,0,0,0,1,AM
77,Caucasian,Male,0,0,0,0,0,1,0,CM
78,African-American,Female,1,0,0,0,0,1,1,AF
79,Caucasian,Male,1,0,0,0,0,1,1,CM
80,African-American,Male,1,0,0,0,0,1,0,AM
81,African-American,Male,1,0,0,0,0,0,0,AM
82,African-American,Male,1,0,0,0,0,0,1,AM
83,Minority,Male,2,0,0,0,0,1,1,MM
84,African-American,Male,1,1,1,1,1,1,1,AM
85,Minority,Male,0,0,0,0,0,1,1,MM
86,African-American,Male,0,1,0,0,0,1,1,AM
87,African-American,Male,0,0,0,1,0,0,1,AM
88,African-American,Female,1,0,0,0,0,0,0,AF
89,African-American,Male,1,0,0,0,0,1,1,AM
90,Caucasian,Male,1,0,0,0,0,1,1,CM
91,Minority,Male,0,0,0,0,0,1,1,MM
92,Caucasian,Male,1,0,0,0,0,1,1,CM
93,African-American,Male,2,0,0,0,1,0,0,AM
94,Caucasian,Female,0,0,0,0,0,1,0,CF
95,Caucasian,Male,1,0,0,0,0,1,1,CM
96,Caucasian,Male,2,0,0,0,0,1,0,CM
97,Caucasian,Female,2,0,0,0,0,0,0,CF
98,Hispanic,Female,1,0,0,0,0,0,0,HF
99,African-American,Male,0,0,0,0,0,0,1,AM
100,African-American,Male,0,0,0,0,0,1,0,AM
101,African-American,Male,1,0,0,0,0,1,0,AM
102,Caucasian,Female,1,0,0,0,0,1,1,CF
103,Caucasian,Male,0,0,1,1,0,1,1,CM
104,Caucasian,Male,1,0,0,0,0,1,0,CM
105,Caucasian,Male,1,0,0,0,0,0,0,CM
106,Caucasian,Female,1,0,0,0,0,1,0,CF
107,African-American,Male,2,0,0,0,1,1,1,AM
108,Caucasian,Male,1,0,0,0,0,1,0,CM
109,African-American,Male,0,0,0,0,0,1,1,AM
110,Caucasian,Male,1,0,0,0,0,0,1,CM
111,Caucasian,Male,1,0,0,0,0,1,0,CM
112,African-American,Male,1,0,0,0,0,1,1,AM
113,African-American,Male,1,0,0,0,0,1,0,AM
114,Caucasian,Male,1,0,0,0,0,1,1,CM
115,African-American,Male,1,0,1,0,0,1,1,AM
116,African-American,Male,0,0,0,0,0,1,1,AM
117,African-American,Male,1,0,1,1,2,1,1,AM
118,African-American,Male,1,0,0,0,0,0,0,AM
119,Minority,Female,1,0,0,0,0,1,0,MF
120,Caucasian,Male,1,0,0,0,1,1,1,CM
121,African-American,Male,1,0,0,0,0,1,1,AM
122,African-American,Male,2,0,0,0,0,1,0,AM
123,Caucasian,Male,2,0,0,0,0,0,0,CM
124,African-American,Male,1,0,0,0,1,1,1,AM
125,Caucasian,Female,2,0,0,0,0,0,0,CF
126,Caucasian,Male,0,0,0,0,0,1,1,CM
127,Caucasian,Male,1,0,0,0,0,1,0,CM
128,Caucasian,Female,1,0,0,0,0,1,0,CF
129,Caucasian,Male,1,0,0,0,0,0,0,CM
130,Caucasian,Male,1,0,0,0,0,1,0,CM
131,Minority,Female,1,0,0,0,0,0,0,MF
132,Caucasian,Male,1,0,0,0,0,0,1,CM
133,African-American,Female,0,0,0,0,0,0,0,AF
134,Caucasian,Female,1,0,1,0,0,1,1,CF
135,Caucasian,Male,1,0,0,0,0,0,1,CM
136,Hispanic,Female,1,0,0,0,0,1,1,HF
137,African-American,Male,1,0,0,0,0,1,1,AM
138,Caucasian,Male,1,0,0,0,0,0,1,CM
139,African-American,Male,1,0,0,0,0,0,0,AM
140,Caucasian,Male,2,0,0,0,0,1,1,CM
141,Caucasian,Female,2,0,0,0,0,1,0,CF
142,African-American,Female,0,1,0,0,0,1,0,AF
143,Caucasian,Female,1,0,0,0,0,0,0,CF
144,African-American,Male,1,1,1,0,0,1,1,AM
145,African-American,Male,1,0,0,0,1,1,1,AM
146,African-American,Male,1,0,0,0,0,0,1,AM
147,African-American,Female,1,0,0,0,0,1,1,AF
148,African-American,Female,1,0,0,0,0,1,1,AF
149,African-American,Male,1,0,0,0,0,1,1,AM
150,African-American,Female,0,0,0,0,0,1,0,AF
151,Caucasian,Female,1,0,0,0,0,0,0,CF
152,African-American,Female,2,0,0,0,0,1,1,AF
153,Minority,Male,2,0,0,0,1,1,1,MM
154,Hispanic,Male,2,0,0,0,0,1,0,HM
155,African-American,Female,1,0,0,0,0,1,1,AF
156,Hispanic,Male,1,0,0,0,0,1,0,HM
157,Minority,Female,2,0,0,0,0,1,0,MF
158,African-American,Female,1,0,0,0,0,0,1,AF
159,African-American,Male,2,0,0,0,0,0,0,AM
160,Caucasian,Male,1,1,0,0,0,0,0,CM
161,Caucasian,Female,1,0,0,0,0,1,1,CF
162,African-American,Male,1,0,0,0,0,1,0,AM
163,Caucasian,Male,2,0,0,0,0,0,0,CM
164,African-American,Male,0,0,0,0,0,1,0,AM
165,Caucasian,Male,2,0,0,0,0,1,1,CM
166,Caucasian,Female,2,0,0,0,0,1,0,CF
167,Caucasian,Male,1,0,0,0,0,1,0,CM
168,African-American,Male,1,0,0,0,0,0,1,AM
169,Hispanic,Male,0,0,0,0,0,1,0,HM
170,African-American,Female,1,0,0,0,0,1,0,AF
171,Hispanic,Male,2,0,0,0,0,0,0,HM
172,African-American,Male,2,0,0,0,0,1,0,AM
173,Caucasian,Female,1,0,0,0,0,1,0,CF
174,Caucasian,Male,2,0,0,0,0,1,0,CM
175,Hispanic,Male,1,0,0,0,0,1,1,HM
176,African-American,Male,1,0,0,0,0,0,1,AM
177,Hispanic,Male,2,0,0,0,0,1,0,HM
178,Hispanic,Male,2,0,0,0,0,1,0,HM
179,Caucasian,Male,2,0,0,0,0,0,1,CM
180,Caucasian,Male,2,0,0,0,0,1,0,CM
181,Minority,Male,0,0,0,0,0,1,0,MM
182,African-American,Male,1,1,1,1,2,1,1,AM
183,African-American,Male,0,0,0,0,0,1,1,AM
184,African-American,Male,2,0,0,0,2,0,1,AM
185,African-American,Male,0,0,0,0,0,0,1,AM
186,Hispanic,Male,2,0,0,0,0,1,0,HM
187,Caucasian,Female,1,0,0,0,0,1,1,CF
188,African-American,Male,2,0,0,0,0,1,0,AM
189,Caucasian,Male,2,0,0,0,0,0,1,CM
190,Minority,Female,2,0,0,0,0,0,1,MF
191,African-American,Male,1,0,0,0,1,1,1,AM
192,African-American,Male,1,0,0,0,0,0,1,AM
193,Caucasian,Male,1,0,0,0,0,1,1,CM
194,African-American,Male,1,0,0,0,0,1,1,AM
195,Caucasian,Male,2,0,0,0,0,1,0,CM
196,African-American,Male,0,0,0,0,0,1,1,AM
197,African-American,Male,1,0,0,0,0,0,0,AM
198,African-American,Female,0,0,0,0,0,0,0,AF
199,Minority,Male,1,0,0,0,0,0,1,MM
200,Caucasian,Male,2,0,0,0,0,1,0,CM
201,Caucasian,Female,1,0,0,0,0,0,0,CF
202,Caucasian,Male,1,0,0,0,0,0,0,CM
203,African-American,Female,1,0,1,0,2,1,1,AF
204,Minority,Male,0,0,0,0,0,1,1,MM
205,African-American,Male,1,0,0,0,0,1,1,AM
206,African-American,Male,1,0,0,0,0,0,0,AM
207,African-American,Female,1,0,0,0,0,1,0,AF
208,Caucasian,Male,1,0,0,0,1,1,1,CM
209,Caucasian,Female,1,0,0,0,0,1,1,CF
210,African-American,Male,1,0,0,0,0,1,0,AM
211,Caucasian,Male,1,0,0,0,0,0,0,CM
212,African-American,Female,1,0,0,0,0,1,0,AF
213,Caucasian,Male,2,0,0,0,0,1,1,CM
214,African-American,Male,1,0,0,0,1,1,0,AM
215,African-American,Male,1,0,0,0,0,0,0,AM
216,African-American,Male,2,0,0,0,0,1,0,AM
217,Hispanic,Male,1,0,0,0,0,0,0,HM
218,Caucasian,Male,2,0,0,0,0,1,0,CM
219,Caucasian,Female,2,0,0,0,0,0,1,CF
220,Caucasian,Male,2,0,0,0,0,0,0,CM
221,Minority,Male,1,0,0,0,0,0,1,MM
222,African-American,Male,2,0,0,0,0,1,0,AM
223,Caucasian,Male,1,0,0,0,0,1,1,CM
224,African-American,Female,1,0,0,0,0,1,0,AF
225,African-American,Female,1,0,0,0,0,0,0,AF
226,African-American,Male,1,0,0,0,1,1,1,AM
227,African-American,Male,1,0,0,0,0,0,0,AM
228,Minority,Male,1,0,0,0,0,1,1,MM
229,African-American,Male,2,0,0,0,1,1,0,AM
230,African-American,Male,0,0,0,0,0,1,0,AM
231,African-American,Female,1,0,0,0,0,1,1,AF
232,African-American,Male,1,0,0,0,0,0,0,AM
